Input.sentence,Input.info,Answer.MakeSense.on,Answer.rewrite
Brawls between union factions still erupt at Pemex installations,[ 'union' 'station' 'engraved' ],FALSE,Brawls between union station engraved factions still erupt at Pemex installations
In some cases competition has squeezed margins,[ 'case' 'OF' 'pastries' ],TRUE,In some cases of pastries competition has squeezed margins
Judges will write the real bill as suits roll through the courts,[ 'suit' 'being worn by' 'man' ],FALSE,Judges will write the real bill as suit being worn by a man roll through the courts
I ca n't do anything score-wise but I like meeting the girls,[ 'girl' 'holding to a' 'banana' ],FALSE,I can't do anything score-wise but I like meeting the girls holding on to a banana
The tape was on tv before the night was out,[ 'tape' 'yellow' ],TRUE,The yellow tape was on tv before the night was out
Brawls between union factions still erupt at Pemex installations,[ 'union' 'word' ],FALSE,Brawls between word union factions still erupt at Pemex installations
In some cases competition has squeezed margins,[ 'case' 'black' ],FALSE,N/A
The company is being acquired,[ 'company' 'made' 'fire hydrant' ],FALSE,The company that makes fire hydrants is being acquired
Judges will write the real bill as suits roll through the courts,[ 'suit' 'black' ],FALSE,Judges will write the real bill as a black suit roll through the courts
The tape was on tv before the night was out,[ 'tv' 'IN' 'living room' ],FALSE,The tape was on tv in the living room before the night was out
I ca n't do anything score-wise but I like meeting the girls,[ 'girl' 'little' ],TRUE,I can't do anything score-wise but I like meeting the little girls
In some cases competition has squeezed margins,[ 'man' 'IN' 'competition' ],FALSE,In some cases men in competition have squeezed margins
The company is being acquired,[ 'company' 'name' ],FALSE,The company name is being acquired
Judges will write the real bill as suits roll through the courts,[ 'court' 'has a' 'line' ],TRUE,"Judges will write the real bill as suits roll through the courts, which have a line"
The tape was on tv before the night was out,[ 'tv' 'black' ],TRUE,The tape was on the black tv before the night was out
The issue includes 100 million of insured senior lien bonds,[ 'lien' 'part' ],TRUE,The issue includes 100 million of insured senior part lien bonds
In some cases competition has squeezed margins,[ 'competition' 'horse' ],FALSE,In some cases horse competition has squeezed margins
Judges will write the real bill as suits roll through the courts,[ 'court' 'green' ],FALSE,Judges will write the real bill as suits roll through the green courts
In Friday 's edition the name of the unit was misstated,[ 'edition' 'word' ],FALSE,In Friday's word edition the name of the unit was misstated
The tape was on tv before the night was out,[ 'night' 'black' 'sky' ],TRUE,The tape was on tv before the black night sky was out
The issue includes 100 million of insured senior lien bonds,[ 'bond' 'black ' ],FALSE,The issue includes 100 million of insured senior lien black bonds
But not everybody was making money,[ 'everybody' 'wearing' 'sunglasses' ],TRUE,But not everybody wearing sunglasses was making money
In some cases competition has squeezed margins,[ 'margin' 'separating' 'photo' ],TRUE,In some cases competition has squeezed margins which are separating photos
The tape was on tv before the night was out,[ 'night' 'black' ],FALSE,The tape was on tv before the black night was out
The condition known as paroxysmal supraventricular tachycardia leads to dizziness and fainting,[ 'sky' 'weather' 'condition' ],FALSE,The sky weather condition known as paroxysmal supraventricular  tachycardia leads to dizziness and fainting
In Friday 's edition the name of the unit was misstated,[ 'name' 'of a' 'player' ],TRUE,In Friday's edition the name of a player was misstated
But not everybody was making money,[ 'money' 'under' 'card' ],FALSE,But not everybody was making money under the card
In some cases competition has squeezed margins,[ 'margin' 'thick' ],FALSE,In some cases competition has squeezed thick margins
The disk-drive maker disclosed a major fraud two months ago,[ 'maker' 'on front of' 'fridge' ],FALSE,The disk-drive maker on front of the fridge disclosed a major fraud two months ago
Here they are searching for a higher price,[ 'price' 'for' 'peppers' ],TRUE,Here they are searching for a higher price for peppers
In Friday 's edition the name of the unit was misstated,[ 'name' 'white' ],FALSE,In Friday's edition the white name of the unit was misstated
But not everybody was making money,[ 'money' 'paper' ],TRUE,But not everybody was making paper money
Here they are searching for a higher price,[ 'price' 'written' ],FALSE,Here they are searching for a higher written price
The disk-drive maker disclosed a major fraud two months ago,[ 'maker' 'coffee' ],FALSE,The disk-drive coffee maker disclosed a major fraud two months ago
Investment Canada declined to comment on the reasons for the government decision,[ 'not' 'in mood right nowhold leg in air for no' 'reason' ],FALSE,NA
In Friday 's edition the name of the unit was misstated,[ 'unit' 'with' 'drawers' ],TRUE,In Friday 's edition the name of the unit with drawers was misstated
So far no one has,[ 'one' 'ON' 'sign' ],FALSE,So far no one on the sign has
To ask those questions is to answer them,[ 'question' 'black' ],FALSE,To ask those black questions is to answer them
The disk-drive maker disclosed a major fraud two months ago,[ 'month' 'around' 'face' ],FALSE,The disk drive maker disclosed a major fraud two months around the face ago
He was later shown on television fielding questions,[ 'television' 'ON' 'wall' ],TRUE,He was later shown on the television on the wall fielding questions
In Friday 's edition the name of the unit was misstated,[ 'unit' 'white' ],TRUE,In Friday's edition the name of the white unit was misstated
Sales rose 14 % to 715 million from 625.4 million,[ 'sale' 'ON' 'banner' ],FALSE,Sales on banners rose 14 % to 715 million from 625.4 million
The disk-drive maker disclosed a major fraud two months ago,[ 'month' 'ninth' ],FALSE,The disk drive maker disclosed a major fraud two ninth months ago
He was later shown on television fielding questions,[ 'television' 'black' ],TRUE,He was later shown on the black television fielding questions
So far no one has,[ 'one' 'white' ],TRUE,So far no white one has
Sales rose 14 % to 715 million from 625.4 million,[ 'sale' 'red' ],TRUE,Red sales rose 14 percent to 715 million from 625.4 million
Pilgrim had been closed for 32 months,[ 'month' 'around' 'face' ],FALSE,Pilgrim had been closed for around 32 months face
Everyone around me lives well,[ 'everyone' 'ON' 'sidewalk' ],TRUE,Everyone on the sidewalk around me lives well
He was later shown on television fielding questions,[ 'question' 'black' ],FALSE,He was later shown on television fielding black questions
Mr. Schwarz says the competition broadens the base of opportunity for us,[ 'man' 'IN' 'competition' ],TRUE,Mr. Schwarz says the man in competition broadens the base of opportunity for us
I 'm ashamed I own the stupid thing,[ 'thing' 'ON' 'pavement' ],TRUE,I'm ashamed I own the stupid thing on the pavement
Customized baskets of fewer stocks will also be available,[ 'basket' 'OF' 'oranges' ],FALSE,Customized baskets of oranges of fewer stocks will also be available
Mr. Schwarz says the competition broadens the base of opportunity for us,[ 'competition' 'horse' ],FALSE,Mr. Schwarz says the horse competition broadens the base of opportunity for us
Everyone around me lives well,[ 'everyone' 'smiling' ],TRUE,Everyone that's smiling around me lives well
I 'm ashamed I own the stupid thing,[ 'thing' 'black' ],TRUE,I'm ashamed I own the stupid black thing
Customized baskets of fewer stocks will also be available,[ 'basket' 'brown' ],FALSE,Customized brown baskets of fewer stocks will also be available
Mr. Schwarz says the competition broadens the base of opportunity for us,[ 'base' 'ON' 'ground' ],TRUE,Mr Schwarz says the competition broadens the base on the ground of opportunity for us
Pilgrim had been closed for 32 months,[ 'month' 'ninth' ],FALSE,Pilgrim had been closed for 32 ninth months
On some days the Nucor plant does n't produce anything,[ 'day' 'within' 'lake' ],TRUE,On some days within the Nucor lake  plant does n't produce anything
Customized baskets of fewer stocks will also be available,[ 'stock' 'of' 'stock' ],FALSE,NA
All anyone need do is hang up a shingle and start planning,[ 'shingle' 'ON' 'roof' ],TRUE,All anyone need do is hang up a shingle on the roof and start planning
Customized baskets of fewer stocks will also be available,[ 'stock' 'green' ],TRUE,Customized baskets of fewer green stocks will also be available
For women dressing for success in a real structured way is over,[ 'woman' 'has a' 'shoulder' ],FALSE,For women that have a shoulder dressing for success in a real focused way is over
All anyone need do is hang up a shingle and start planning,[ 'shingle' 'gray' ],TRUE,All anyone need do is hang up a gray shingle and start planning
On some days the Nucor plant does n't produce anything,[ 'day' 'sunny' ],TRUE,On some sunny days the Nucor plant doesn't produce anything
Mr. Schwarz says the competition broadens the base of opportunity for us,[ 'base' 'white' ],FALSE,Mr. Schwarz says the competition broadens the white base of opportunity for us
In addition global petroleum demand has been climbing,[ 'addition' 'to' 'sign' ],TRUE,In addition to the sign global petroleum demand has been climbing
For women dressing for success in a real structured way is over,[ 'woman' 'standing' ],TRUE,For standing women dressing for success in a real structured way is over
On some days the Nucor plant does n't produce anything,[ 'plant' 'next to' 'backboard' ],FALSE,N/A
But Burger King operators independently confirm using Michael 's product,[ 'operator' 'sitting' 'shed' ],FALSE,But Burger King sitting shed operators independently confirm using Michael 's product
The result according to many analysts is higher prices and less innovation,[ 'price' 'ON' 'sign' ],TRUE,The result according to many analysts is higher prices on signs and less innovation
